number,name,status
1,PEP Purpose and Guidelines,
220,"Coroutines, Generators, Continuations",
227,Statically Nested Scopes,
221,Import As,
219,Stackless Python,
226,Python 2.1 Release Schedule,
225,Elementwise/Objectwise Operators,
223,Change the Meaning of \x Escapes,
222,Web Library Enhancements,
224,Attribute Docstrings,
217,Display Hook for Interactive Use,
218,Adding a Built-In Set Object Type,
216,Docstring Format,
215,String Interpolation,
214,Extended Print Statement,
213,Attribute Access Handlers,
8104,2023 Term Steering Council election,
8103,2022 Term Steering Council election,
8101,2020 Term Steering Council election,
8100,January 2019 Steering Council election,
8102,2021 Term Steering Council election,
8016,The Steering Council Model,
8013,The External Council Governance Model,
8014,The Commons Governance Model,
8015,Organization of the Python community,
8011,Python Governance Model Lead by Trio of Pythonistas,
8012,The Community Governance Model,
8001,Python Governance Voting Process,
8002,Open Source Governance Survey,
8010,The Technical Leader Governance Model,
8000,Python Language Governance Proposal Overview,
3333,Python Web Server Gateway Interface v1.0.1,
3155,Qualified name for classes and functions,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3154,Pickle protocol version 4,
3153,Asynchronous IO support,
3148,futures - execute computations asynchronously,
3152,Cofunctions,
3150,Statement local namespaces (aka “given” clause),
3151,Reworking the OS and IO exception hierarchy,
3146,Merging Unladen Swallow into CPython,
3149,ABI version tagged .so files,
3147,PYC Repository Directories,
3143,Standard daemon process library,
3144,IP Address Manipulation Library for the Python Standard Library,
3145,Asynchronous I/O For subprocess.Popen,
3142,Add a “while” clause to generator expressions,
3141,A Type Hierarchy for Numbers,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3138,String representation in Python 3000,
3137,Immutable Bytes and Mutable Buffer,
3136,Labeled break and continue,
3135,New Super,
3133,Introducing Roles,
3130,Access to Current Module/Class/Function,
3132,Extended Iterable Unpacking,
3134,Exception Chaining and Embedded Tracebacks,
3129,Class Decorators,
3131,Supporting Non-ASCII Identifiers,
3127,Integer Literal Support and Syntax,
3126,Remove Implicit String Concatenation,
3128,BList: A Faster List-like Type,
3125,Remove Backslash Continuation,
3123,Making PyObject_HEAD conform to standard C,
3122,Delineation of the main module,
3121,Extension Module Initialization and Finalization,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
3120,Using UTF-8 as the default source encoding,
3119,Introducing Abstract Base Classes,
3117,Postfix type declarations,
3118,Revising the buffer protocol,
3116,New I/O,
3115,Metaclasses in Python 3000,
3114,Renaming iterator.next() to iterator.__next__(),
3112,Bytes literals in Python 3000,
3113,Removal of Tuple Parameter Unpacking,
3110,Catching Exceptions in Python 3000,
3111,Simple input built-in in Python 3000,
3109,Raising Exceptions in Python 3000,
3108,Standard Library Reorganization,
3107,Function Annotations,
3105,Make print a function,
3106,"Revamping dict.keys(), .values() and .items()",
3104,Access to Names in Outer Scopes,
3102,Keyword-Only Arguments,
3101,Advanced String Formatting,
3103,A Switch/Case Statement,
3100,Miscellaneous Python 3.0 Plans,
3003,Python Language Moratorium,
3099,Things that will Not Change in Python 3000,
3002,Procedure for Backwards-Incompatible Changes,
3001,Procedure for reviewing and improving standard library modules,
801,Reserved,
3000,Python 3000,
754,IEEE 754 Floating Point Special Values,
721,Using tarfile.data_filter for source distribution extraction,
719,Python 3.13 Release Schedule,
715,Disabling bdist_egg distribution uploads on PyPI,
720,Cross-compiling Python packages,
714,Rename dist-info-metadata in the Simple API,
713,Callable Modules,
712,Adding a “converter” parameter to dataclasses.field,
709,Inlined comprehensions,
710,Recording the provenance of installed packages,
707,A simplified signature for __exit__ and __aexit__,
711,PyBI: a standard format for distributing Python Binaries,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
706,Filter for tarfile.extractall,
704,Require virtual environments by default for package installers,
703,Making the Global Interpreter Lock Optional in CPython,
702,Marking deprecations using the type system,
698,Override Decorator for Static Typing,
700,Additional Fields for the Simple API for Package Indexes,
697,Limited C API for Extending Opaque Types,
701,Syntactic formalization of f-strings,
696,Type defaults for TypeVarLikes,
695,Type Parameter Syntax,
699,Remove private dict version field added in PEP 509,
693,Python 3.12 Release Schedule,
694,Upload 2.0 API for Python Package Repositories,
692,Using TypedDict for more precise **kwargs typing,
691,JSON-based Simple API for Python Package Indexes,
690,Lazy Imports,
687,Isolating modules in the standard library,
689,Unstable C API tier,
688,Making the buffer protocol accessible in Python,
686,Make UTF-8 mode default,
685,Comparison of extra names for optional distribution dependencies,
681,Data Class Transforms,
684,A Per-Interpreter GIL,
683,"Immortal Objects, Using a Fixed Refcount",
682,Format Specifier for Signed Zero,
680,tomllib: Support for Parsing TOML in the Standard Library,
676,PEP Infrastructure Process,
679,Allow parentheses in assert statements,
678,Enriching Exceptions with Notes,
677,Callable Type Syntax,
673,Self Type,
672,Unicode-related Security Considerations for Python,
675,Arbitrary Literal String Type,
674,Disallow using macros as l-values,
671,Syntax for late-bound function argument defaults,
670,Convert macros to functions in the Python C API,
669,Low Impact Monitoring for CPython,
666,Reject Foolish Indentation,
667,Consistent views of namespaces,
668,Marking Python base environments as “externally managed”,
665,A file format to list Python dependencies for reproducibility of an application,
662,Editable installs via virtual wheels,
663,"Standardizing Enum str(), repr(), and format() behaviors",
664,Python 3.11 Release Schedule,
661,Sentinel Values,
659,Specializing Adaptive Interpreter,
660,Editable installs for pyproject.toml based builds (wheel based),
658,Serve Distribution Metadata in the Simple Repository API,
656,Platform Tag for Linux Distributions Using Musl,
655,Marking individual TypedDict items as required or potentially-missing,
657,Include Fine Grained Error Locations in Tracebacks,
654,Exception Groups and except*,
652,Maintaining the Stable ABI,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
653,Precise Semantics for Pattern Matching,
647,User-Defined Type Guards,
648,Extensible customizations of the interpreter at startup,
649,Deferred Evaluation Of Annotations Using Descriptors,
645,Allow writing optional types as x?,
646,Variadic Generics,
643,Metadata for Package Source Distributions,
644,Require OpenSSL 1.1.1 or newer,
642,Explicit Pattern Syntax for Structural Pattern Matching,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
640,Unused variable syntax,
639,Improving License Clarity with Better Package Metadata,
636,Structural Pattern Matching: Tutorial,
637,Support for indexing with keyword arguments,
638,Syntactic Macros,
634,Structural Pattern Matching: Specification,
635,Structural Pattern Matching: Motivation and Rationale,
632,Deprecate distutils module,
633,Dependency specification in pyproject.toml using an exploded TOML table,
631,Dependency specification in pyproject.toml based on PEP 508,
630,Isolating Extension Modules,
629,Versioning PyPI’s Simple API,
628,Add math.tau,
627,Recording installed projects,
